Symbol,Company Name,Bonus(%),Cash(%),Total(%),Announcement,Book Closure,Fiscal Year
CCDS,CDS & Clearing Limit...,0,100.00,100.00,"Dec 22, 2024",Not Announced,2080/2081
NTC,Nepal Doorsanchar Co...,0,30.00,30.00,"Dec 22, 2024","Jan 2, 2025",2080/2081
SSADBL,Shangrila Developmen...,3.65,0.19,3.84,"Dec 18, 2024","Jan 1, 2025",2080/2081
NNESDO,NESDO Sambridha Lagh...,14.25,0.75,15.00,"Dec 18, 2024","Mar 12, 2025",2080/2081
GVL,Green Ventures Limit...,10,0.53,10.53,"Dec 22, 2024","Dec 29, 2024",2080/2081
GBBL,Garima Bikas Bank Li...,0,5.00,5.00,"Dec 20, 2024","Jan 2, 2025",2080/2081
LBBL,Lumbini Bikas Bank L...,3,4.00,7.00,"Dec 20, 2024","Jan 3, 2025",2080/2081
NNRNDFL,N.R.N. Nepal Develop...,0,4.00,4.00,"Dec 19, 2024",Not Announced,2080/2081
ADBL,Agricultural Develop...,3,7.53,10.53,"Dec 19, 2024","Dec 31, 2024",2080/2081
NNIIFL,Nepal Infrastructure...,4.88,0.27,5.15,"Dec 19, 2024","Jan 3, 2025",2080/2081
BPCL,Butwal Power Company...,0,5.00,5.00,"Dec 19, 2024","Jan 2, 2025",2080/2081
DDDBL,Deprosc Laghubitta B...,9.5,0.50,10.00,"Dec 13, 2024","Jan 1, 2025",2080/2081
RADHI,Radhi Bidyut Company...,4.75,0.25,5.00,"Dec 12, 2024","Dec 19, 2024",2080/2081
HIDCL,Hydorelectricity Inv...,0,5.25,5.25,"Dec 11, 2024","Dec 27, 2024",2080/2081
GRDBL,Green Development Ba...,5.75,0.30,6.05,"Dec 18, 2024","Mar 28, 2025",2080/2081
CCEL,Century Energy Limit...,8.5,0.00,8.50,"Dec 18, 2024",Not Announced,2080/2081
MERO,Mero Microfinance Bi...,7.5,0.39,7.89,"Dec 17, 2024","Jan 3, 2025",2080/2081
CHCL,Chilime Hydropower C...,10,2.00,12.00,"Dec 17, 2024","Dec 31, 2024",2080/2081
MLBL,Mahalaxmi Bikas Bank...,3,4.00,7.00,"Dec 16, 2024","Dec 31, 2024",2080/2081
SHIVM,SHIVAM CEMENTS LTD,8.55,0.45,9.00,"Dec 16, 2024","Jan 1, 2025",2080/2081
NHDL,Nepal Hydro Develope...,8,0.42,8.42,"Dec 16, 2024","Dec 23, 2024",2080/2081
TTRH,Taragaon Regency Hot...,0,11.00,11.00,"Dec 5, 2024","Dec 22, 2024",2080/2081
CCBBL,Chhimek Laghubitta B...,8,7.00,15.00,"Dec 5, 2024","Dec 31, 2024",2080/2081
SBI,Nepal SBI Bank Limit...,3.8,6.85,10.65,"Dec 4, 2024","Dec 22, 2024",2080/2081
KMCDB,Kalika Laghubitta Bi...,9.5,0.50,10.00,"Dec 11, 2024","Jan 3, 2025",2080/2081
ICFC,ICFC Finance Limited,0,5.26,5.26,"Dec 10, 2024","Jan 1, 2025",2080/2081
SHPC,Sanima Mai Hydropowe...,10,0.53,10.53,"Dec 10, 2024","Dec 24, 2024",2080/2081
MFIL,Manjushree Finance L...,0,6.35,6.35,"Dec 9, 2024","Dec 26, 2024",2080/2081
HDL,Himalayan Distillery...,15,5.00,20.00,"Dec 9, 2024","Jan 3, 2025",2080/2081
SBL,Siddhartha Bank Limi...,0,4.00,4.00,"Dec 8, 2024","Dec 29, 2024",2080/2081
