Symbol,Company Name,Bonus(%),Cash(%),Total(%),Announcement,Book Closure,Fiscal Year
CIT,Citizen Investment T...,22.0,1.16,23.16,"Apr 12, 2018","Apr 22, 2018",2072/2073
CIT,Citizen Investment T...,21.85,1.15,23.0,"Aug 1, 2017","Aug 11, 2017",2071/2072
CIT,Citizen Investment T...,35.0,6.84,41.84,"Feb 8, 2016","Feb 18, 2016",2070/2071
CIT,Citizen Investment T...,50.0,2.63,52.63,"Jun 22, 2014","Jul 2, 2014",2069/2070
CIT,Citizen Investment T...,38.89,0.0,38.89,"Jun 18, 2013","Jun 28, 2013",2068/2069
CIT,Citizen Investment T...,35.0,0.0,35.0,"Jul 11, 2012","Jul 21, 2012",2067/2068
CLI,Citizen Life Insuran...,26.9841,1.42,28.4,"Feb 21, 2025","Mar 12, 2025",2080/2081
CMF1,Citizens Mutual Fund...,0.0,9.0,9.0,"Sep 29, 2024","Oct 9, 2024",2081/2082
CMF1,Citizens Mutual Fund...,0.0,9.0,9.0,"Sep 29, 2024","Oct 9, 2024",2080/2081
CMF1,Citizens Mutual Fund...,0.0,40.0,40.0,"Aug 30, 2021","Sep 9, 2021",2077/2078
CMF1,Citizens Mutual Fund...,0.0,15.0,15.0,"Sep 21, 2020","Oct 1, 2020",2076/2077
CMF1,Citizens Mutual Fund...,0.0,7.0,7.0,"Sep 12, 2020","Sep 22, 2020",2075/2076
CMF2,CITIZENS MUTUAL FUND...,0,8.25,8.25,"Aug 18, 2025","Aug 29, 2025",2081/2082
CMF2,CITIZENS MUTUAL FUND...,0.0,6.5,6.5,"Sep 29, 2024","Oct 9, 2024",2080/2081
CMF2,Citizens Mutual Fund...,0.0,8.0,8.0,"Aug 27, 2023",Not Announced,2079/2080
CYCL,CYC Nepal Laghubitta...,30.0,1.58,31.58,"Dec 23, 2022","Jan 3, 2023",2078/2079
CZBIL,Citizens Bank Intern...,5,0.26,5.26,"Sep 26, 2025","Nov 3, 2025",2081/2082
